Nama_Makanan,Produsen,Porsi,Energi (kkal),Protein (g),Karbohidrat (g),Lemak (g),Gula (g),Natrium (mg),Serat (g),Persentase_AKG_Energi,Persentase_AKG_Protein,Persentase_AKG_Karbohidrat,Persentase_AKG_Lemak,Persentase_AKG_Natrium,Lemak_Jenuh,Natrium,Protein,Karbohidrat_Total,Energi,Lemak_Total,Serat_Pangan,% AKG Energi,% AKG Protein,% AKG Lemak,% AKG Karbohidrat,% AKG Gula
Yoshinoya Teriyaki (Large bowl),Tidak Diketahui,9.0,567.5,65.25,81.80000000000001,25.0,15.0,0.0,9.0,53.02,110.0,50.77,37.31,0.0,0.0,0.0,110.0,51.0,54.0,0.0,0.0,26.395348837209305,108.74999999999999,37.3134328358209,25.169230769230772,30.0
Daun sintrong, segar,1.8,1.9,36.0,2.6,6.1,0.9,0.0,64.0,1.7,1.67,4.33,1.88,1.34,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.08837209302325581,60.0,9.104477611940299,0.8,1.8000000000000003
Daun ubi tinta, segar,1.8,1.2,55.0,1.7,11.9,0.1,0.0,10.0,7.6,2.56,2.83,3.66,0.15,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.05581395348837209,91.66666666666666,17.761194029850746,0.5230769230769231,0.2
Sukun muda,Tidak Diketahui,1.0,119.0,1.4,28.1,0.2,0.0,24.0,1.4,5.53,2.33,8.65,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.534883720930233,2.333333333333333,0.2985074626865672,8.646153846153846,0.0
Kacang tanah sangan tanpa selaput,Tidak Diketahui,2.7,559.0,26.9,23.6,31.5,0.0,33.0,2.6,26.0,44.83,7.26,65.97,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44.83333333333333,47.01492537313433,7.261538461538462,0.0
Daun selasih, segar,1.8,1.9,62.0,4.0,10.5,0.5,0.0,3.0,5.3,2.88,6.67,3.23,0.75,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.08837209302325581,103.33333333333334,15.671641791044777,1.2307692307692308,1.0
Peterseli, segar,1.8,2.4,53.0,3.7,9.0,1.0,0.0,18.0,0.0,2.47,6.17,2.77,1.49,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.11162790697674418,88.33333333333333,13.432835820895523,1.1384615384615386,2.0
Kenari kering,Tidak Diketahui,3.0,567.5,15.0,13.0,31.5,0.0,3.0,0.0,30.56,25.0,4.0,98.51,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.395348837209305,25.0,47.01492537313433,4.0,0.0
Pindang kenari, masakan,1.8,2.8,65.25,9.5,0.0,9.6,0.0,370.0,0.0,5.77,15.83,0.0,14.33,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.13023255813953488,108.74999999999999,0.0,2.923076923076923,19.2
Daun pepaya, segar,1.8,2.7,65.25,8.0,11.9,2.0,0.0,4.0,1.5,4.05,13.33,3.66,2.99,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.12558139534883722,108.74999999999999,17.761194029850746,2.4615384615384617,4.0
Kabau, segar,1.8,0.6,65.25,6.7,25.2,0.3,0.0,1.0,2.9,6.05,11.17,7.75,0.45,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.027906976744186046,108.74999999999999,37.61194029850746,2.0615384615384613,0.6
Ayam goreng sukabumi, dada,1.8,3.4,65.25,36.7,1.0,9.2,0.0,0.0,0.0,11.35,61.17,0.31,13.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15813953488372093,108.74999999999999,1.4925373134328357,11.292307692307693,18.4
Ayam goreng sukabumi, paha,1.8,3.6,65.25,35.7,0.5,14.3,0.0,0.0,0.0,13.16,59.5,0.15,21.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16744186046511628,108.74999999999999,0.7462686567164178,10.984615384615386,28.6
Jamur encik,Tidak Diketahui,2.7,296.0,9.4,62.0,0.1,0.0,2.0,0.0,13.77,15.67,19.08,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.767441860465116,15.666666666666668,0.1492537313432836,19.076923076923077,0.0
French fries,Tidak Diketahui,4.0,380.0,5.0,53.0,17.0,0.0,0.0,4.0,17.67,8.33,16.31,25.37,0.0,0.0,0.0,0.0,17.0,18.0,26.0,0.0,17.674418604651162,8.333333333333332,25.37313432835821,16.307692307692307,0.0
Curry Croquette,Tidak Diketahui,1.0,180.0,1.0,21.0,9.0,1.0,0.0,1.0,8.37,1.67,6.46,13.43,0.0,0.0,0.0,0.0,7.0,9.0,14.0,0.0,8.372093023255815,1.6666666666666667,13.432835820895523,6.461538461538462,2.0
Jantung pisang segar,Tidak Diketahui,1.2,32.0,1.2,7.1,0.3,0.0,3.0,3.2,1.49,2.0,2.18,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4883720930232558,2.0,0.44776119402985076,2.1846153846153844,0.0
Jeruk nipis, segar,1.8,0.4,44.0,0.5,10.0,0.2,0.0,3.0,0.4,2.05,0.83,3.08,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0186046511627907,73.33333333333333,14.925373134328357,0.15384615384615385,0.4
Pempek belida, masakan,1.8,1.4,65.25,4.2,31.5,1.4,0.0,0.0,0.2,7.26,7.0,9.72,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06511627906976744,108.74999999999999,47.01492537313433,1.2923076923076924,2.8
Pempek kapal selam, masakan,1.8,1.6,65.25,4.5,28.2,2.3,0.0,628.0,0.0,7.07,7.5,8.68,3.43,41.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0744186046511628,108.74999999999999,42.08955223880597,1.3846153846153846,4.6
Sapi, daleman,1.8,100.0,2.1,81.80000000000001,12.0,1.4,14.4,0.0,277.0,0.0,8.51,20.0,0.43,21.49,18.47,0.0,0.0,0.0,0.0,0.0,4.651162790697675,3.5000000000000004,17.91044776119403,25.169230769230772,2.8
Ayam brand tuna dalam air,PT. Ayam brand Indonesia,13.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,2.33,21.67,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,2.3255813953488373,21.666666666666668,0.0,0.0,0.0
Daun matel ambon, segar,1.8,3.0,65.25,6.8,11.5,1.6,0.0,0.0,4.6,3.3,11.33,3.54,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,108.74999999999999,17.16417910447761,2.0923076923076924,3.2
Daun singkong ambon, segar,1.8,2.9,65.25,12.7,25.2,1.2,0.0,44.0,10.2,6.7,21.17,7.75,1.79,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.13488372093023254,108.74999999999999,37.61194029850746,3.907692307692307,2.4
Pisang ambon, segar,1.8,1.0,65.25,1.0,24.3,0.8,0.0,10.0,1.9,5.02,1.67,7.48,1.19,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,108.74999999999999,36.268656716417915,0.3076923076923077,1.6
WRP lose weight meal replacement,PT. Nutrifood Indonesia,3.0,15.0,14.0,35.0,1.5,15.0,260.0,3.0,9.77,23.33,10.77,2.24,17.33,0.0,18.0,24.0,0.0,0.0,0.0,0.0,0.6976744186046512,23.333333333333332,2.2388059701492535,10.76923076923077,30.0
Ayam bacem,Tidak Diketahui,13.7,147.0,13.7,8.3,6.7,0.0,0.0,0.0,6.84,22.83,2.55,10.0,0.0,0.0,0.0,23.0,0.0,7.0,10.0,0.0,6.837209302325581,22.833333333333332,10.0,2.553846153846154,0.0
Tahu bacem,Tidak Diketahui,1.9,24.0,1.9,1.09,1.47,0.0,34.0,0.0,1.12,3.17,0.34,2.19,2.27,0.0,3.0,4.0,0.0,0.0,3.0,0.0,1.1162790697674418,3.166666666666666,2.1940298507462686,0.33538461538461545,0.0
cemcem pilus rasa keju panggang,Tidak Diketahui,1.0,100.0,1.0,13.0,5.0,0.0,270.0,0.0,4.65,1.67,4.0,7.46,18.0,0.0,18.0,0.0,0.0,5.0,8.0,0.0,4.651162790697675,1.6666666666666667,7.462686567164178,4.0,0.0
Pronas kornet ayam,PT. Canning Indonesia,2.0,70.0,5.0,5.0,3.0,0.0,0.0,2.0,3.26,8.33,1.54,4.48,0.0,0.0,0.0,9.0,0.0,0.0,5.0,7.0,3.255813953488372,8.333333333333332,4.477611940298507,1.5384615384615385,0.0
Tebu terubuk (lilin), segar,1.8,1.0,30.0,4.6,3.0,0.4,0.0,699.0,0.8,1.4,7.67,0.92,0.6,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,50.0,4.477611940298507,1.4153846153846152,0.8
Bentul kukus,Tidak Diketahui,0.9,71.0,2.3,15.4,0.3,0.0,0.0,0.5,3.3,3.83,4.74,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.302325581395349,3.833333333333333,0.44776119402985076,4.7384615384615385,0.0
Nanas palembang, segar,1.8,0.3,58.0,0.7,13.3,0.2,0.0,7.0,1.6,2.7,1.17,4.09,0.3,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.013953488372093023,96.66666666666667,19.850746268656717,0.21538461538461537,0.4
Empal (daging) goreng, masakan,1.8,2.0,65.25,36.2,10.1,6.9,0.0,848.0,0.0,11.53,60.33,3.11,10.3,56.53,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,108.74999999999999,15.074626865671641,11.138461538461538,13.8
Ikan Paling, segar,1.8,1.0,65.25,14.0,0.0,15.0,0.0,43.0,0.0,14.09,23.33,0.0,40.3,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,108.74999999999999,0.0,4.3076923076923075,30.0
Esprecielo caramel macchiato,CV. Esprecielo International,0.0,110.0,1.0,17.0,4.0,10.0,0.0,0.0,5.12,1.67,5.23,5.97,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,5.116279069767442,1.6666666666666667,5.970149253731343,5.230769230769231,20.0
Starbucks Espresso Brownie,Tidak Diketahui,4.0,370.0,4.0,43.0,21.0,15.0,115.0,0.0,17.21,6.67,13.23,31.34,7.67,0.0,0.0,0.0,14.0,18.0,32.0,0.0,17.209302325581397,6.666666666666667,31.343283582089555,13.230769230769232,30.0
Piatos iga penyet,PT.URC,0.0,60.0,0.0,7.0,3.5,0.0,80.0,0.0,2.79,0.0,2.15,5.22,5.33,0.0,6.0,0.0,0.0,3.0,6.0,0.0,2.7906976744186047,0.0,5.223880597014925,2.1538461538461537,0.0
piattos iga penyet,PT. URC Indonesia,1.0,60.0,1.0,13.0,7.0,0.0,160.0,0.0,5.58,1.67,4.0,10.45,10.67,15.0,11.0,0.0,0.0,0.0,11.0,0.0,2.7906976744186047,1.6666666666666667,10.44776119402985,4.0,0.0
Pia 100 Rasa Kacang Hijau,Tidak Diketahui,2.0,100.0,2.0,17.0,3.0,0.0,15.0,0.0,4.65,3.33,5.23,4.48,1.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,4.651162790697675,3.3333333333333335,4.477611940298507,5.230769230769231,0.0
japato potato chips rasa rumput laut,Tidak Diketahui,1.0,150.0,1.0,15.0,10.0,0.0,150.0,0.0,6.98,1.67,4.62,14.93,10.0,0.0,10.0,0.0,0.0,7.0,15.0,0.0,6.976744186046512,1.6666666666666667,14.925373134328357,4.615384615384616,0.0
Pork rib,Tidak Diketahui,19.9,211.0,19.9,0.0,12.01,0.0,0.0,0.0,9.81,33.17,0.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.813953488372093,33.166666666666664,17.925373134328357,0.0,0.0
Kacang tanah sangan,Tidak Diketahui,2.1,560.0,29.5,24.1,31.5,0.0,34.0,2.9,26.05,49.17,7.42,64.18,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.046511627906977,49.166666666666664,47.01492537313433,7.415384615384616,0.0
